sequence_id	library	term	gained_in_term	lost_in_term	gained_genes	lost_genes	corrected_log2_odds_ratio	p_value	q_within_screen	q_global_library
ABCA4_75abb350373a370e	GO Molecular Function	signaling receptor binding (GO:0005102)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75abb350373a370e	GO Biological Process	chloride transport (GO:0006821)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75abb350373a370e	GO Biological Process	mucus secretion (GO:0070254)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75abb350373a370e	GO Biological Process	monoatomic ion transmembrane transport (GO:0034220)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	Reactome	SARS-CoV Infections (R-HSA-9679506)	0	1		ANO4	-0.7369655941662062	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	Reactome	Ion channel transport (R-HSA-983712)	0	1		ANO4	-0.7369655941662062	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	Reactome	Infectious disease (R-HSA-5663205)	0	1		ANO4	-0.7369655941662062	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	Reactome	Induction of Cell-Cell Fusion (R-HSA-9733458)	0	1		ANO4	-0.7369655941662062	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	Reactome	Viral Infection Pathways (R-HSA-9824446)	0	1		ANO4	-0.7369655941662062	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	KEGG	EFFEROCYTOSIS	0	1		ANO4	-0.7369655941662062	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	GO Cellular Component	early endosome (GO:0005769)	0	1		NIPA2	-0.7369655941662062	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	GO Cellular Component	membrane (GO:0016020)	0	1		NIPA2	-0.7369655941662062	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	GO Cellular Component	plasma membrane (GO:0005886)	0	2		ANO4;NIPA2	-1.8365012677171206	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	GO Molecular Function	phospholipid scramblase activity (GO:0017128)	0	1		ANO4	-0.7369655941662062	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	GO Molecular Function	magnesium ion transmembrane transporter activity (GO:0015095)	0	1		NIPA2	-0.7369655941662062	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	GO Molecular Function	protein dimerization activity (GO:0046983)	0	1		ANO4	-0.7369655941662062	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	GO Molecular Function	intracellularly calcium-gated chloride channel activity (GO:0005229)	0	1		ANO4	-0.7369655941662062	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	GO Molecular Function	chloride channel activity (GO:0005254)	0	1		ANO4	-0.7369655941662062	1.0	1.0	1.0
ABCA4_77dde5fe77570a50	GO Biological Process	magnesium ion transport (GO:0015693)	0	1		NIPA2	-0.7369655941662062	1.0	1.0	1.0
ABCA4_7853a45f5fce46ee	GO Biological Process	melanin biosynthetic process (GO:0042438)	1	0	CTNS		0.5603004464868871	1.0	1.0	1.0
